Commune,Province,Population
Acate,Ragusa,"9,574"
Aci Bonaccorsi,Catania,"3,200"
Aci Castello,Catania,"18,122"
Aci Catena,Catania,"28,749"
Aci Sant'Antonio,Catania,"17,270"
Acireale,Catania,"51,456"
Acquaviva Platani,Caltanissetta,"1,041"
Acquedolci,Messina,"5,744"
Adrano,Catania,"35,549"
Agira,Enna,"8,484"
Agrigento,Agrigento,"58,323"
Aidone,Enna,"4,929"
Alcamo,Trapani,"45,314"
Alcara Li Fusi,Messina,"2,072"
Alessandria della Rocca,Agrigento,"3,118"
Alì,Messina,823
Alì Terme,Messina,"2,567"
Alia,Palermo,"3,806"
Alimena,Palermo,"2,152"
Aliminusa,Palermo,"1,291"
Altavilla Milicia,Palermo,"7,429"
Altofonte,Palermo,"10,266"
Antillo,Messina,992
Aragona,Agrigento,"9,493"
Assoro,Enna,"5,366"
Augusta,Siracusa,"36,169"
Avola,Siracusa,"31,328"
Bagheria,Palermo,"54,257"
Balestrate,Palermo,"6,413"
Barcellona Pozzo di Gotto,Messina,"41,632"
Barrafranca,Enna,"13,977"
Basicò,Messina,679
Baucina,Palermo,"2,014"
Belmonte Mezzagno,Palermo,"11,149"
Belpasso,Catania,"26,378"
Biancavilla,Catania,"23,703"
Bisacquino,Palermo,"4,829"
Bivona,Agrigento,"3,882"
Blufi,Palermo,"1,083"
Bolognetta,Palermo,"3,932"
Bompensiere,Caltanissetta,610
Bompietro,Palermo,"1,474"
Borgetto,Palermo,"7,021"
Brolo,Messina,"5,826"
Bronte,Catania,"19,234"
Buccheri,Siracusa,"2,133"
Burgio,Agrigento,"2,780"
Buscemi,Siracusa,"1,128"
Buseto Palizzolo,Trapani,"3,031"
Butera,Caltanissetta,"4,937"
Caccamo,Palermo,"8,295"
Calamonaci,Agrigento,"1,375"
Calascibetta,Enna,"4,628"
Calatabiano,Catania,"5,383"
Calatafimi-Segesta,Trapani,"6,938"
Caltabellotta,Agrigento,"3,907"
Caltagirone,Catania,"38,123"
Caltanissetta,Caltanissetta,"61,711"
Caltavuturo,Palermo,"4,171"
Camastra,Agrigento,"2,163"
Cammarata,Agrigento,"6,275"
Campobello di Licata,Agrigento,"10,438"
Campobello di Mazara,Trapani,"11,580"
Campofelice di Fitalia,Palermo,548
Campofelice di Roccella,Palermo,"6,918"
Campofiorito,Palermo,"1,332"
Campofranco,Caltanissetta,"3,218"
Camporeale,Palermo,"3,448"
Camporotondo Etneo,Catania,"4,476"
Canicattì,Agrigento,"34,863"
Canicattini Bagni,Siracusa,"7,186"
Capaci,Palermo,"11,030"
Capizzi,Messina,"3,347"
Capo d'Orlando,Messina,"13,260"
Capri Leone,Messina,"4,516"
Carini,Palermo,"35,681"
Carlentini,Siracusa,"17,958"
Caronia,Messina,"3,463"
Casalvecchio Siculo,Messina,907
Cassaro,Siracusa,813
Castel di Iudica,Catania,"4,748"
Castel di Lucio,Messina,"1,366"
Castelbuono,Palermo,"9,161"
Casteldaccia,Palermo,"10,884"
Castellammare del Golfo,Trapani,"14,603"
Castellana Sicula,Palermo,"3,549"
Castell'Umberto,Messina,"3,295"
Castelmola,Messina,"1,073"
Casteltermini,Agrigento,"8,422"
Castelvetrano,Trapani,"31,824"
Castiglione di Sicilia,Catania,"3,298"
Castrofilippo,Agrigento,"3,020"
Castronovo di Sicilia,Palermo,"3,175"
Castroreale,Messina,"2,548"
Catania,Catania,"293,902"
Catenanuova,Enna,"4,999"
Cattolica Eraclea,Agrigento,"3,975"
Cefalà Diana,Palermo,"1,007"
Cefalù,Palermo,"14,354"
Centuripe,Enna,"5,599"
Cerami,Enna,"2,150"
Cerda,Palermo,"5,391"
Cesarò,Messina,"2,572"
Chiaramonte Gulfi,Ragusa,"8,224"
Chiusa Sclafani,Palermo,"2,957"
Cianciana,Agrigento,"3,517"
Ciminna,Palermo,"3,845"
Cinisi,Palermo,"12,031"
Collesano,Palermo,"4,095"
Comiso,Ragusa,"29,184"
Comitini,Agrigento,944
Condrò,Messina,481
Contessa Entellina,Palermo,"1,865"
Corleone,Palermo,"11,286"
Custonaci,Trapani,"5,392"
Delia,Caltanissetta,"4,325"
Enna,Enna,"27,894"
Erice,Trapani,"28,012"
Falcone,Messina,"2,874"
Favara,Agrigento,"32,972"
Favignana,Trapani,"4,185"
Ferla,Siracusa,"2,600"
Ficarazzi,Palermo,"11,484"
Ficarra,Messina,"1,566"
Fiumedinisi,Messina,"1,559"
Fiumefreddo di Sicilia,Catania,"9,690"
Floresta,Messina,516
Floridia,Siracusa,"22,685"
Fondachelli-Fantina,Messina,"1,090"
Forza d'Agrò,Messina,878
Francavilla di Sicilia,Messina,"3,901"
Francofonte,Siracusa,"12,923"
Frazzanò,Messina,755
Furci Siculo,Messina,"3,428"
Furnari,Messina,"3,665"
Gaggi,Messina,"3,138"
Gagliano Castelferrato,Enna,"3,722"
Galati Mamertino,Messina,"2,794"
Gallodoro,Messina,381
Gangi,Palermo,"7,063"
Gela,Caltanissetta,"75,668"
Geraci Siculo,Palermo,"1,925"
Giardinello,Palermo,"2,258"
Giardini-Naxos,Messina,"9,268"
Giarratana,Ragusa,"3,143"
Giarre,Catania,"28,114"
Gibellina,Trapani,"4,264"
Gioiosa Marea,Messina,"7,114"
Giuliana,Palermo,"2,032"
Godrano,Palermo,"1,153"
Grammichele,Catania,"13,064"
Graniti,Messina,"1,522"
Gratteri,Palermo,"1,019"
Gravina di Catania,Catania,"26,543"
Grotte,Agrigento,"5,839"
Gualtieri Sicaminò,Messina,"1,834"
Isnello,Palermo,"1,598"
Isola delle Femmine,Palermo,"7,100"
Ispica,Ragusa,"15,122"
Itala,Messina,"1,663"
Joppolo Giancaxio,Agrigento,"1,210"
Lampedusa e Linosa,Agrigento,"6,105"
Lascari,Palermo,"3,500"
Leni,Messina,702
Lentini,Siracusa,"24,484"
Leonforte,Enna,"13,878"
Lercara Friddi,Palermo,"6,935"
Letojanni,Messina,"2,699"
Librizzi,Messina,"1,771"
Licata,Agrigento,"38,125"
Licodia Eubea,Catania,"3,047"
Limina,Messina,900
Linguaglossa,Catania,"5,416"
Lipari,Messina,"11,642"
Longi,Messina,"1,562"
Lucca Sicula,Agrigento,"1,917"
Maletto,Catania,"4,015"
Malfa,Messina,988
Malvagna,Messina,794
Mandanici,Messina,629
Maniace,Catania,"3,671"
Marianopoli,Caltanissetta,"2,006"
Marineo,Palermo,"6,779"
Marsala,Trapani,"80,218"
Mascali,Catania,"13,792"
Mascalucia,Catania,"29,984"
Mazara del Vallo,Trapani,"49,995"
Mazzarino,Caltanissetta,"12,333"
Mazzarrà Sant'Andrea,Messina,"1,567"
Mazzarrone,Catania,"3,989"
Melilli,Siracusa,"13,076"
Menfi,Agrigento,"12,711"
Merì,Messina,"2,396"
Messina,Messina,"243,262"
Mezzojuso,Palermo,"3,020"
Milazzo,Messina,"32,146"
Milena,Caltanissetta,"3,178"
Militello in Val di Catania,Catania,"7,807"
Militello Rosmarino,Messina,"1,334"
Milo,Catania,"1,065"
Mineo,Catania,"5,216"
Mirabella Imbaccari,Catania,"5,191"
Mirto,Messina,"1,000"
Misilmeri,Palermo,"27,570"
Misterbianco,Catania,"47,356"
Mistretta,Messina,"5,014"
Modica,Ragusa,"53,959"
Mojo Alcantara,Messina,756
Monforte San Giorgio,Messina,"2,880"
Mongiuffi Melia,Messina,653
Monreale,Palermo,"38,018"
Montagnareale,Messina,"1,631"
Montalbano Elicona,Messina,"2,420"
Montallegro,Agrigento,"2,543"
Montedoro,Caltanissetta,"1,643"
Montelepre,Palermo,"6,421"
Montemaggiore Belsito,Palermo,"3,566"
Monterosso Almo,Ragusa,"3,183"
Montevago,Agrigento,"3,015"
Motta Camastra,Messina,882
Motta d'Affermo,Messina,828
Motta Sant'Anastasia,Catania,"11,394"
Mussomeli,Caltanissetta,"11,010"
Naro,Agrigento,"8,103"
Naso,Messina,"4,015"
Nicolosi,Catania,"7,156"
Nicosia,Enna,"14,272"
Niscemi,Caltanissetta,"27,975"
Nissoria,Enna,"2,969"
Nizza di Sicilia,Messina,"3,723"
Noto,Siracusa,"23,704"
Novara di Sicilia,Messina,"1,413"
Oliveri,Messina,"2,157"
Pace del Mela,Messina,"6,388"
Paceco,Trapani,"11,487"
Pachino,Siracusa,"22,068"
Pagliara,Messina,"1,230"
Palagonia,Catania,"16,540"
Palazzo Adriano,Palermo,"2,227"
Palazzolo Acreide,Siracusa,"9,091"
Palermo,Palermo,"657,561"
Palma di Montechiaro,Agrigento,"23,643"
Pantelleria,Trapani,"7,493"
Partanna,Trapani,"10,854"
Partinico,Palermo,"31,401"
Paternò,Catania,"47,870"
Patti,Messina,"13,325"
Pedara,Catania,"12,896"
Petralia Soprana,Palermo,"3,443"
Petralia Sottana,Palermo,"2,975"
Petrosino,Trapani,"7,760"
Pettineo,Messina,"1,433"
Piana degli Albanesi,Palermo,"6,010"
Piazza Armerina,Enna,"22,196"
Piedimonte Etneo,Catania,"4,079"
Pietraperzia,Enna,"7,227"
Piraino,Messina,"3,964"
Poggioreale,Trapani,"1,534"
Polizzi Generosa,Palermo,"3,607"
Pollina,Palermo,"2,998"
Porto Empedocle,Agrigento,"16,841"
Portopalo di Capo Passero,Siracusa,"3,749"
Pozzallo,Ragusa,"18,929"
Priolo Gargallo,Siracusa,"12,167"
Prizzi,Palermo,"5,055"
Racalmuto,Agrigento,"8,345"
Raccuja,Messina,"1,139"
Raddusa,Catania,"3,280"
Raffadali,Agrigento,"12,837"
Ragalna,Catania,"3,676"
Ragusa,Ragusa,"69,794"
Ramacca,Catania,"10,775"
Randazzo,Catania,"11,108"
Ravanusa,Agrigento,"12,128"
Realmonte,Agrigento,"4,487"
Regalbuto,Enna,"7,388"
Reitano,Messina,829
Resuttano,Caltanissetta,"2,139"
Ribera,Agrigento,"19,302"
Riesi,Caltanissetta,"11,814"
Riposto,Catania,"14,181"
Roccafiorita,Messina,228
Roccalumera,Messina,"4,105"
Roccamena,Palermo,"1,562"
Roccapalumba,Palermo,"2,634"
Roccavaldina,Messina,"1,149"
Roccella Valdemone,Messina,711
Rodì Milici,Messina,"2,130"
Rometta,Messina,"6,541"
Rosolini,Siracusa,"21,526"
Salaparuta,Trapani,"1,721"
Salemi,Trapani,"10,871"
Sambuca di Sicilia,Agrigento,"6,114"
San Biagio Platani,Agrigento,"3,501"
San Cataldo,Caltanissetta,"23,424"
San Cipirello,Palermo,"5,478"
San Cono,Catania,"2,790"
San Filippo del Mela,Messina,"7,065"
San Fratello,Messina,"3,942"
San Giovanni Gemini,Agrigento,"8,127"
San Giovanni la Punta,Catania,"22,049"
San Giuseppe Jato,Palermo,"8,511"
San Gregorio di Catania,Catania,"11,497"
San Marco d'Alunzio,Messina,"2,083"
San Mauro Castelverde,Palermo,"1,847"
San Michele di Ganzaria,Catania,"3,463"
San Pier Niceto,Messina,"2,911"
San Piero Patti,Messina,"3,082"
San Pietro Clarenza,Catania,"7,102"
San Salvatore di Fitalia,Messina,"1,378"
San Teodoro,Messina,"1,421"
San Vito Lo Capo,Trapani,"4,415"
Santa Caterina Villarmosa,Caltanissetta,"5,727"
Santa Cristina Gela,Palermo,925
Santa Croce Camerina,Ragusa,"9,452"
Santa Domenica Vittoria,Messina,"1,067"
Santa Elisabetta,Agrigento,"2,608"
Santa Flavia,Palermo,"10,751"
Santa Lucia del Mela,Messina,"4,744"
Santa Margherita di Belice,Agrigento,"6,544"
Santa Maria di Licodia,Catania,"7,322"
Santa Marina Salina,Messina,892
Santa Ninfa,Trapani,"5,095"
Santa Teresa di Riva,Messina,"9,240"
Santa Venerina,Catania,"8,351"
Sant'Agata di Militello,Messina,"12,803"
Sant'Agata li Battiati,Catania,"9,829"
Sant'Alessio Siculo,Messina,"1,497"
Sant'Alfio,Catania,"1,631"
Sant'Angelo di Brolo,Messina,"3,297"
Sant'Angelo Muxaro,Agrigento,"1,471"
Santo Stefano di Camastra,Messina,"4,674"
Santo Stefano Quisquina,Agrigento,"4,897"
Saponara,Messina,"4,078"
Savoca,Messina,"1,766"
Scaletta Zanclea,Messina,"2,249"
Sciacca,Agrigento,"40,899"
Sciara,Palermo,"2,787"
Scicli,Ragusa,"25,922"
Scillato,Palermo,627
Sclafani Bagni,Palermo,450
Scordia,Catania,"17,185"
Serradifalco,Caltanissetta,"6,265"
Siculiana,Agrigento,"4,632"
Sinagra,Messina,"2,760"
Siracusa,Siracusa,"118,385"
Solarino,Siracusa,"7,853"
Sommatino,Caltanissetta,"7,267"
Sortino,Siracusa,"8,907"
Spadafora,Messina,"5,091"
Sperlinga,Enna,833
Sutera,Caltanissetta,"1,436"
Taormina,Messina,"11,084"
Terme Vigliatore,Messina,"7,213"
Termini Imerese,Palermo,"27,217"
Terrasini,Palermo,"11,985"
Torregrotta,Messina,"7,426"
Torrenova,Messina,"4,240"
Torretta,Palermo,"4,141"
Tortorici,Messina,"6,732"
Trabia,Palermo,"9,344"
Trapani,Trapani,"69,241"
Trappeto,Palermo,"3,211"
Trecastagni,Catania,"10,482"
Tremestieri Etneo,Catania,"21,032"
Tripi,Messina,933
Troina,Enna,"9,628"
Tusa,Messina,"3,051"
Ucria,Messina,"1,105"
Ustica,Palermo,"1,287"
Valderice,Trapani,"11,951"
Valdina,Messina,"1,352"
Valguarnera Caropepe,Enna,"8,182"
Valledolmo,Palermo,"3,747"
Vallelunga Pratameno,Caltanissetta,"3,641"
Valverde,Catania,"7,714"
Venetico,Messina,"3,855"
Ventimiglia di Sicilia,Palermo,"2,080"
Viagrande,Catania,"8,155"
Vicari,Palermo,"2,948"
Villabate,Palermo,"19,819"
Villafranca Sicula,Agrigento,"1,426"
Villafranca Tirrena,Messina,"8,748"
Villafrati,Palermo,"3,377"
Villalba,Caltanissetta,"1,731"
Villarosa,Enna,"5,130"
Vita,Trapani,"2,139"
Vittoria,Ragusa,"61,006"
Vizzini,Catania,"6,409"
Zafferana Etnea,Catania,"9,249"
